statistical_rank,cpg,original_annotation,UCSC_RefGene_Name,current_gene_symbol,current_gene_aliases,gene_symbol_mapping_source,candidate_priority_score,evidence_tier,strict_subset_membership,robust_contrasts,tier1_contrasts,same_direction_contrasts,max_n_datasets,best_fdr,best_neg_log10_fdr,mean_i2,max_abs_meta_effect,top_effect_direction,strongest_contrast,direction_consistency,likely_dataset_sensitive,priority_label,all5_any_run,chromosome,genomic_position_hg19,MAPINFO,strand,UCSC_RefGene_Group,gene_region_annotation,UCSC_RefGene_Accession,Relation_to_UCSC_CpG_Island,CpG_island_name,Regulatory_Feature_Name,Regulatory_Feature_Group,Enhancer,DHS,DMR,HMM_Island,Phantom,nearby_regulatory_annotation,annotation_source,in_450k_annotation,in_epic_annotation,Probe_rs,Probe_maf,CpG_rs,CpG_maf,SBE_rs,SBE_maf,nearest_gene,nearest_gene_entrez,nearest_tss_transcript_id,nearest_tss_chr,nearest_tss_position,nearest_tss_strand,nearest_tss_distance,nearest_tss_orientation,previously_reviewed_in_old_script13,old_biological_support_tier,old_biological_support_score,old_source_label,biological_evidence_class,human_masld_evidence,human_liver_fibrosis_evidence,experimental_masld_evidence,experimental_liver_fibrosis_evidence,hepatic_metabolism_evidence,evidence_directness,evidence_source_1,evidence_source_2,evidence_source_3,literature_note,final_interpretation_priority,include_in_interpretation_panel,selection_reason
11,cg02246928,NA,NA,NA,NA,NA,105.10900977445674,tier1_consistent_low_dataset_signal,TRUE,4,4,4,6,8.670818919696251e-36,35.06193988343385,48.68696287893934,0.11838557338454148,lower methylation in case/higher stage,advanced_vs_nonadvanced,1,FALSE,stage_and_binary_all5,TRUE,chr6,144586678,144586678,+,NA,NA,NA,OpenSea,NA,NA,NA,TRUE,NA,NA,NA,NA,Regulatory_Feature_Group=NA; Regulatory_Feature_Name=NA; Enhancer=TRUE; DHS=NA; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,UTRN,7402,ENST00000367545.8_4,chr6,144606471,+,19792,upstream,FALSE,NA,NA,NA,U,No CpG- or UTRN-specific human MASLD evidence identified.,No convincing UTRN-specific liver-fibrosis evidence identified.,No experimental MASLD evidence identified.,No experimental liver-fibrosis evidence identified.,No convincing hepatic-metabolism evidence assigned.,Intergenic enhancer ~19.8 kb from UTRN; no evidence links this CpG to UTRN regulation.,,,,The locus is a strict-subset signal but lacks a convincing liver/MASLD mechanistic annotation.,,FALSE,Not selected because the nearest-gene relationship is distant and biologically unsupported.
12,cg21519787,SPHK2,SPHK2,SPHK2,SK 2;SK-2;SPHK2;SPK 2;SPK-2,org.Hs.eg.db:SYMBOL,103.27623325540652,tier1_consistent_low_dataset_signal,FALSE,4,3,3,6,1.876972597072709e-50,49.7265420678299,50.646923841488345,0.16064387990955678,higher methylation in case/higher stage,advanced_vs_nonadvanced,1,FALSE,stage_replicated_all5,TRUE,chr19,49133421,49133421,-,3'UTR,3'UTR,NM_020126,Island,chr19:49132603-49134291,19:49133377-49134426,Gene_Associated,NA,TRUE,RDMR,19:53824332-53825752,NA,Regulatory_Feature_Group=Gene_Associated; Regulatory_Feature_Name=19:49133377-49134426; Enhancer=NA; DHS=TRUE; DMR=RDMR,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,A,Yes — reduced hepatic SPHK2 expression/protein has been reported in human MASH/MASLD liver.,Human fibrosis-specific causality is not established; MASH tissue evidence and experimental fibrosis support are available.,"Yes — SphK2 depletion worsened redox dysregulation, lipid accumulation and inflammation in diet-induced MASH; additional hepatocyte gain/loss studies support protection from steatosis.",Yes — SphK2 depletion increased fibrosis in a diet-induced MASH model.,"Yes — sphingolipid/redox metabolism, VLDL secretion, autophagy and ATGL-dependent triglyceride homeostasis.","Direct SPHK2 3'UTR annotation. Evidence is gene-level; no functional methylation-to-SPHK2 relationship for cg21519787 is established. Some pharmacologic/genetic literature is context-dependent, so directional claims should be cautious.",https://pubmed.ncbi.nlm.nih.gov/39773902/,https://pubmed.ncbi.nlm.nih.gov/40200091/,https://pubmed.ncbi.nlm.nih.gov/41804573/,"SPHK2 has direct human MASLD/MASH liver evidence and multiple mechanistic studies linking it to triglyceride handling, VLDL secretion, redox balance, inflammation and fibrosis. Across studies, gene function appears protective in several genetic models, although sphingolipid-pathway effects can be context dependent.",2,TRUE,"Selected because it combines direct gene annotation, strong statistical support and unusually broad, direct human and experimental MASLD/MASH evidence."
13,cg07156249,PSMB9;PSMB9;TAP1,PSMB9;PSMB9;TAP1,PSMB9;TAP1,ABC17;ABCB2;APT1;beta1i;D6S114E;LMP2;MHC1D1;PRAAS3;PRAAS6;PSF-1;PSF1;PSMB6i;PSMB9;RING12;RING4;TAP1;TAP1*0102N;TAP1N,org.Hs.eg.db:SYMBOL,102.1169951971038,tier1_consistent_low_dataset_signal,FALSE,4,4,4,6,8.562938906323176e-41,40.0673771545116,58.6033762210862,0.14689639820689915,lower methylation in case/higher stage,advanced_vs_nonadvanced,1,FALSE,stage_all5,TRUE,chr6,32822911,32822911,+,Body;Body;TSS1500,Body;Body;TSS1500,NM_002800;NM_148954;NM_000593,S_Shore,chr6:32820849-32822370,NA,NA,NA,NA,NA,NA,NA,Regulatory_Feature_Group=NA; Regulatory_Feature_Name=NA; Enhancer=NA; DHS=NA; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,A,No direct human MASLD evidence identified for this CpG; disease-specific evidence is experimental for TAP1.,No direct human liver-fibrosis evidence identified.,Yes for TAP1 — Tap1-deficient mice were protected from fructose-induced NAFLD/steatosis and insulin resistance.,No direct fibrosis-focused TAP1 study identified.,Indirect through hepatic immune/CD8-cell effects in fructose-induced fatty liver.,"Probe maps to PSMB9 gene body and TAP1 TSS1500. The direct NAFLD evidence pertains to TAP1, not PSMB9, and no methylation-to-expression relationship has been demonstrated.",https://pubmed.ncbi.nlm.nih.gov/23488792/,,,"The probe's TAP1 annotation provides direct experimental NAFLD context: Tap1 deficiency prevented fructose-induced steatosis and insulin resistance in mice. The result should not be generalized to PSMB9, despite the dual annotation.",5,TRUE,"Selected because it has direct probe-to-TAP1 annotation and experimental NAFLD evidence, in addition to statistical rank 13."
14,cg02033582,NA,NA,NA,NA,NA,101.39311245598287,tier1_consistent_low_dataset_signal,TRUE,4,4,4,6,1.7815010724437968e-29,28.74921391187245,34.626745646556564,0.1523885878701629,lower methylation in case/higher stage,advanced_vs_nonadvanced,1,FALSE,stage_and_binary_all5,TRUE,chr17,29394814,29394814,-,NA,NA,NA,OpenSea,NA,NA,NA,TRUE,TRUE,NA,NA,NA,Regulatory_Feature_Group=NA; Regulatory_Feature_Name=NA; Enhancer=TRUE; DHS=TRUE; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,LOC646030,646030,ENST00000581652.1_10,chr17,29386139,-,8674,upstream,FALSE,NA,NA,NA,U,No convincing MASLD evidence identified for the locus or nearest LOC646030.,No convincing liver-fibrosis evidence identified.,No direct MASLD evidence identified.,No direct fibrosis evidence identified.,No convincing hepatic-metabolism evidence assigned.,Intergenic enhancer/DHS ~8.7 kb from an uncharacterized LOC transcript; no functional mapping evidence identified.,,,,Strict-subset candidate with strong statistics but currently unresolved biology.,,FALSE,Not selected because no reliable disease-relevant gene assignment or mechanistic context was identified.
15,cg18680181,KIAA0391,KIAA0391,PRORP,COXPD54;KIAA0391;MRPP3;PRORP,org.Hs.eg.db:ALIAS,101.08594546783748,tier1_consistent_low_dataset_signal,TRUE,4,4,4,6,2.537356381324136e-29,28.595618530187537,38.61975006587561,0.13349822703205114,lower methylation in case/higher stage,advanced_vs_nonadvanced,1,FALSE,stage_and_binary_all5,TRUE,chr14,35629311,35629311,-,Body,Body,NM_014672,OpenSea,NA,14:35629131-35629455,Unclassified_Cell_type_specific,TRUE,TRUE,NA,NA,NA,Regulatory_Feature_Group=Unclassified_Cell_type_specific; Regulatory_Feature_Name=14:35629131-35629455; Enhancer=TRUE; DHS=TRUE; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,D,No direct PRORP/MRPP3 human MASLD evidence identified.,No direct human liver-fibrosis evidence identified.,No direct MASLD model identified.,No direct liver-fibrosis model identified.,Indirect — PRORP is an essential mitochondrial RNase P subunit required for mitochondrial tRNA processing and mitochondrial gene expression.,Direct PRORP gene-body annotation. Mitochondrial relevance is general and should not be treated as liver/MASLD-specific evidence.,https://pubmed.ncbi.nlm.nih.gov/34715011/,,,"PRORP (formerly KIAA0391/MRPP3) has a well-established mitochondrial RNA-processing function, but targeted literature review did not identify direct MASLD or liver-fibrosis evidence. Its biological plausibility is therefore broad rather than disease-specific.",,FALSE,"Not selected for the interpretation panel because disease-specific biological evidence was weaker than for other directly annotated candidates, despite strict-subset status and statistical rank 15."
16,cg10732871,GPX4;GPX4,GPX4;GPX4,GPX4,GPx-4;GPX4;GSHPx-4;MCSP;PHGPx;SMDS;snGPx;snPHGPx,org.Hs.eg.db:SYMBOL,100.09324588428052,tier1_consistent_low_dataset_signal,FALSE,4,4,4,6,3.5222979210224633e-43,42.453173913563475,62.479517104278,0.1873733638256028,lower methylation in case/higher stage,advanced_vs_nonadvanced,1,FALSE,stable_secondary,FALSE,chr19,1102675,1102675,+,TSS1500;TSS1500,TSS1500;TSS1500,NM_002085;NM_001039847,N_Shore,chr19:1103722-1105758,19:1102583-1103017,Unclassified_Cell_type_specific,NA,TRUE,NA,NA,NA,Regulatory_Feature_Group=Unclassified_Cell_type_specific; Regulatory_Feature_Name=19:1102583-1103017; Enhancer=NA; DHS=TRUE; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,direct_liver_masld_mechanism,4,Ferroptosis in liver disease,A,Yes — human MAFLD/MASLD liver studies report ferroptosis activation and GPX4 dysregulation; biopsy-proven MASLD data also link low GPX4/ferroptosis signatures to disease subgroups.,"Human fibrosis-specific GPX4 causality is not established, although human MASLD studies include more advanced disease states.",Yes — multiple HFFD/MCD/CDAHFD and hepatocyte experiments directly manipulate GPX4/ferroptosis in fatty liver disease.,Yes — GPX4 isoform manipulation affected steatohepatitis/fibrosis in mouse MAFLD models; ferroptosis biology is cell- and isoform-dependent.,Yes — central regulator of glutathione-dependent lipid-peroxide detoxification and ferroptosis.,"Direct GPX4 TSS1500 annotation. Disease evidence is strong at gene/pathway level, but cg10732871 methylation has not been shown to regulate GPX4 expression. GPX4 effects are context/isoform/cell-type dependent.",https://pubmed.ncbi.nlm.nih.gov/36176906/,https://pubmed.ncbi.nlm.nih.gov/39060422/,,"GPX4 remains one of the most biologically interpretable candidates because it directly connects the methylation signal to ferroptosis and lipid-peroxidation biology in human and experimental MASLD. Mechanistic direction should be described carefully because canonical and inducible GPX4 isoforms, and different liver cell types, can have different effects.",3,TRUE,"Selected because of direct gene annotation and strong human plus experimental MASLD evidence for GPX4/ferroptosis, despite statistical rank 16 and moderate heterogeneity across contrasts."
17,cg20303075,NA,NA,NA,NA,NA,99.34459120619302,tier1_consistent_low_dataset_signal,FALSE,4,3,4,6,1.077321028249925e-40,39.96765486306917,52.655343959107995,0.1284622973762704,lower methylation in case/higher stage,advanced_vs_nonadvanced,1,FALSE,stage_replicated_all5,TRUE,chr8,80804323,80804323,+,NA,NA,NA,Island,chr8:80803688-80804324,NA,NA,NA,NA,NA,NA,NA,Regulatory_Feature_Group=NA; Regulatory_Feature_Name=NA; Enhancer=NA; DHS=NA; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,LOC101927040,101927040,ENST00000777913.1_1,chr8,80784019,-,20303,upstream,FALSE,NA,NA,NA,U,No convincing MASLD evidence identified for the locus or nearest LOC101927040.,No convincing liver-fibrosis evidence identified.,No direct MASLD evidence identified.,No direct fibrosis evidence identified.,No convincing hepatic-metabolism evidence assigned.,Intergenic CpG-island locus ~20.3 kb from an uncharacterized LOC transcript; no functional mapping evidence identified.,,,,Strong statistical candidate but biologically unresolved.,,FALSE,Not selected because no disease-relevant gene or regulatory assignment was established.
18,cg26027052,NA,NA,NA,NA,NA,98.13613976800411,tier1_consistent_low_dataset_signal,FALSE,4,4,4,6,6.764803215826755e-40,39.169744832255354,55.65363229149255,0.14769842857449386,lower methylation in case/higher stage,disease_vs_healthy,1,FALSE,stable_secondary,FALSE,chr6,36821364,36821364,-,NA,NA,NA,OpenSea,NA,NA,NA,TRUE,NA,NA,NA,NA,Regulatory_Feature_Group=NA; Regulatory_Feature_Name=NA; Enhancer=TRUE; DHS=NA; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,PPIL1,51645,ENST00000483552.1_3,chr6,36826411,-,5046,downstream,FALSE,NA,NA,NA,U,No CpG-specific or PPIL1-specific MASLD evidence identified.,No PPIL1-specific liver-fibrosis evidence identified.,No direct MASLD model identified.,No direct fibrosis model identified.,No convincing hepatic-metabolism evidence assigned.,Intergenic enhancer ~5.0 kb from PPIL1. PPIL1 literature found in liver cancer is not evidence for MASLD/fibrosis and does not establish regulation by this CpG.,,,,The nearest-gene context is dominated by HCC studies and is insufficient for MASLD interpretation.,,FALSE,Not selected because the locus-to-PPIL1 relationship is unvalidated and available liver evidence is cancer-specific rather than MASLD/fibrosis-specific.
19,cg00225623,SPATA13;SPATA13,SPATA13;SPATA13,SPATA13,ARHGEF29;ASEF2;SPATA13,org.Hs.eg.db:SYMBOL,97.94170850037204,tier1_consistent_low_dataset_signal,FALSE,4,3,3,6,8.55689230511968e-51,50.06768393389672,51.16582999255913,0.17478478016110924,lower methylation in case/higher stage,fibrosis_vs_nonfibrosis,1,FALSE,stable_secondary,FALSE,chr13,24845891,24845891,-,Body;Body,Body;Body,NM_001166271;NM_153023,OpenSea,NA,13:24845791-24846428,Promoter_Associated,TRUE,TRUE,RDMR,NA,NA,Regulatory_Feature_Group=Promoter_Associated; Regulatory_Feature_Name=13:24845791-24846428; Enhancer=TRUE; DHS=TRUE; DMR=RDMR,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,cell_migration_indirect,1,SPATA13 gene function,D,No direct human MASLD evidence identified.,No direct human liver-fibrosis evidence identified.,No direct MASLD model identified.,No hepatic fibrosis model identified; SPATA13 has a mechanistic fibroblast/TGF-beta role in a non-hepatic fibrosis model.,No specific hepatic-metabolism evidence identified.,"Direct SPATA13 gene-body annotation. Available biology concerns RhoGEF-dependent migration and non-hepatic fibroblast activation, not liver disease.",https://pubmed.ncbi.nlm.nih.gov/19151759/,https://pubmed.ncbi.nlm.nih.gov/42261590/,,SPATA13/ASEF2 regulates cytoskeletal organization and cell migration and has recent evidence in TGF-beta-dependent fibroblast activation outside the liver. This offers broad remodeling plausibility but no direct MASLD or hepatic-fibrosis support.,,FALSE,Not selected because evidence remains indirect and non-hepatic.
20,cg09072216,SPG20;SPG20;SPG20;SPG20,SPG20;SPG20;SPG20;SPG20,SPART,SPART;SPG20;TAHCCP1,org.Hs.eg.db:ALIAS,96.73241410092427,tier1_consistent_low_dataset_signal,FALSE,4,4,4,6,6.0146470304549914e-37,36.22078985414685,42.44277593957035,0.140762091980567,lower methylation in case/higher stage,advanced_vs_nonadvanced,1,FALSE,stable_secondary,FALSE,chr13,36919344,36919344,-,5'UTR;5'UTR;5'UTR;5'UTR,5'UTR;5'UTR;5'UTR;5'UTR,NM_001142296;NM_001142294;NM_015087;NM_001142295,N_Shore,chr13:36919737-36921004,NA,NA,NA,NA,CDMR,13:35817334-35817410,NA,Regulatory_Feature_Group=NA; Regulatory_Feature_Name=NA; Enhancer=NA; DHS=NA; DMR=CDMR,450K_hg19,TRUE,TRUE,rs9547375,0.306746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,C,No direct human MASLD association for SPART identified.,No direct human liver-fibrosis evidence identified.,No direct MASLD model identified.,No direct liver-fibrosis model identified.,Yes — SPART/spartin is a lipid-droplet lipophagy receptor required for lysosomal delivery and triglyceride mobilization and also has lipid-transfer activity in lipid-droplet turnover.,Direct 5'UTR annotation to SPART (formerly SPG20). Mechanistic evidence is strong for lipid-droplet biology but not liver/MASLD-specific.,https://pubmed.ncbi.nlm.nih.gov/37443287/,https://pubmed.ncbi.nlm.nih.gov/38190532/,,"SPART provides a coherent mechanistic link to lipid-droplet turnover and lipophagy, processes central to hepatic steatosis, but current evidence is not liver-specific. It should therefore be framed as mechanistic plausibility rather than an established MASLD gene.",11,TRUE,"Selected because direct gene annotation and strong lipid-droplet/lipophagy biology provide a plausible mechanistic bridge to steatosis, alongside statistical rank 20."
21,cg25305879,NA,NA,NA,NA,NA,96.627813305566,tier1_consistent_low_dataset_signal,FALSE,4,4,4,6,5.09629895402733e-28,27.29274510377391,29.542165341514888,0.09654719603603844,lower methylation in case/higher stage,disease_vs_healthy,1,FALSE,stage_replicated_all5,TRUE,chr2,106814630,106814630,-,NA,NA,NA,S_Shelf,chr2:106809942-106811175,NA,NA,TRUE,TRUE,NA,NA,NA,Regulatory_Feature_Group=NA; Regulatory_Feature_Name=NA; Enhancer=TRUE; DHS=TRUE; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,UXS1,80146,ENST00000283148.12_8,chr2,106810757,-,3872,upstream,FALSE,NA,NA,NA,U,No CpG- or UXS1-specific MASLD evidence identified.,No convincing UXS1-specific liver-fibrosis evidence identified.,No direct MASLD model identified.,No direct fibrosis model identified.,No convincing hepatic-metabolism evidence assigned.,Intergenic enhancer/DHS ~3.9 kb from UXS1; no evidence links the CpG to UXS1 regulation. Cancer/ferroptosis reports for UXS1 are not sufficient MASLD evidence.,,,,Biologically unresolved in the MASLD/fibrosis context.,,FALSE,Not selected because nearest-gene evidence was not disease-specific and the CpG-to-gene link is unvalidated.
22,cg16351569,NA,NA,NA,NA,NA,95.40461359033318,tier1_consistent_low_dataset_signal,FALSE,3,3,3,6,1.1851112865675906e-65,64.92624086579488,51.90772819333633,0.1627848698619138,lower methylation in case/higher stage,advanced_vs_nonadvanced,1,FALSE,stage_replicated_all5,TRUE,chr17,43448493,43448493,+,NA,NA,NA,N_Shore,chr17:43449054-43449286,17:43448424-43448541,Unclassified_Cell_type_specific,NA,NA,NA,NA,NA,Regulatory_Feature_Group=Unclassified_Cell_type_specific; Regulatory_Feature_Name=17:43448424-43448541; Enhancer=NA; DHS=NA; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,ARHGAP27,201176,ENST00000590026.1_3,chr17,43473274,-,24780,downstream,FALSE,NA,NA,NA,U,No CpG- or ARHGAP27-specific human MASLD evidence identified.,No convincing liver-fibrosis evidence identified.,No direct MASLD evidence identified.,No direct fibrosis evidence identified.,No convincing hepatic-metabolism evidence assigned.,Intergenic shore locus ~24.8 kb from ARHGAP27; no regulatory link identified.,,,,No relevant liver/MASLD biological support was identified in the targeted review.,,FALSE,Not selected because biological context remains unresolved.
23,cg13750566,NA,NA,NA,NA,NA,94.9071514515027,tier1_consistent_low_dataset_signal,FALSE,4,4,4,6,7.232086580094475e-26,25.140736383274923,33.82728033579484,0.13161445222656343,higher methylation in case/higher stage,advanced_vs_nonadvanced,1,FALSE,stage_replicated_all5,TRUE,chr9,92222745,92222745,-,NA,NA,NA,S_Shore,chr9:92219771-92221411,NA,NA,NA,NA,NA,NA,NA,Regulatory_Feature_Group=NA; Regulatory_Feature_Name=NA; Enhancer=NA; DHS=NA; DMR=NA,450K_hg19,TRUE,TRUE,rs61533250,0.026051,NA,NA,NA,NA,GADD45G,10912,ENST00000494726.1_1,chr9,92220007,+,2737,downstream,FALSE,NA,NA,NA,D,"Nearest-gene context only — GADD45G appears in recent MASLD differential-expression/diagnostic-gene analyses, but evidence is largely computational and not CpG-specific.",No convincing GADD45G-specific human fibrosis evidence identified.,Weak/indirect — GADD45G occurs in MASLD expression signatures; direct functional MASLD manipulation focused on other genes.,No direct liver-fibrosis model identified.,"General stress-response/metabolic-regulation plausibility, but not a demonstrated hepatic mechanism for this locus.",Intergenic shore locus ~2.7 kb from GADD45G. The CpG-to-GADD45G regulatory relationship is unproven; disease evidence for GADD45G is comparatively indirect.,https://pubmed.ncbi.nlm.nih.gov/41200186/,https://pubmed.ncbi.nlm.nih.gov/42137057/,,"Recent studies nominate GADD45G in MASLD expression signatures, but the evidence is primarily computational and the candidate CpG is intergenic. This is insufficient to treat cg13750566 as a GADD45G-associated MASLD marker.",,FALSE,Not selected because both the locus-to-gene assignment and the disease evidence are indirect.
24,cg02439266,HOXA3;HOXA3;HOXA3,HOXA3;HOXA3;HOXA3,HOXA3,HOX1;HOX1E;HOXA3,org.Hs.eg.db:SYMBOL,94.46032279197472,tier1_consistent_low_dataset_signal,FALSE,4,4,4,6,6.1266103054985e-25,24.21277974290193,29.77246056113268,0.10546975737684625,higher methylation in case/higher stage,disease_vs_healthy,1,FALSE,stage_replicated_all5,TRUE,chr7,27150042,27150042,-,5'UTR;Body;Body,5'UTR;Body;Body,NM_153632;NM_153631;NM_030661,Island,chr7:27150030-27150418,NA,NA,TRUE,NA,NA,7:27116491-27116943,NA,Regulatory_Feature_Group=NA; Regulatory_Feature_Name=NA; Enhancer=TRUE; DHS=NA; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,U,No direct HOXA3 human MASLD evidence identified.,No direct HOXA3 human liver-fibrosis evidence identified.,No direct MASLD model identified.,No direct hepatic-fibrosis model identified.,No convincing hepatic-metabolism evidence assigned.,"Direct HOXA3 annotation, but targeted review did not identify disease-relevant hepatic evidence.",,,,"HOXA3 is a developmental transcription factor, but no sufficiently direct MASLD/liver-fibrosis evidence was identified for this interpretation workflow.",,FALSE,Not selected because direct disease-relevant biological support was not identified.
25,cg25792518,ACSF2;CHAD,ACSF2;CHAD,ACSF2;CHAD,ACSF2;ACSMW;AVYV493;CHAD;SLRR4A,org.Hs.eg.db:SYMBOL,93.94050820585568,tier1_consistent_low_dataset_signal,FALSE,3,3,3,6,1.0529092598367929e-50,49.9776090548831,40.87636265124936,0.13490333650263198,higher methylation in case/higher stage,advanced_vs_nonadvanced,1,FALSE,stage_all5,TRUE,chr17,48545950,48545950,-,Body;1stExon,Body;1stExon,NM_025149;NM_001267,Island,chr17:48545570-48546900,NA,NA,TRUE,NA,NA,17:45900609-45901921,NA,Regulatory_Feature_Group=NA; Regulatory_Feature_Name=NA; Enhancer=TRUE; DHS=NA; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,B,No direct human MASLD ACSF2 evidence identified.,No direct human fibrosis validation identified.,No direct MASLD model identified.,Yes — ACSF2 K179 acetylation promoted hepatic stellate-cell activation and altered long-chain fatty-acid metabolism in rat HSC experiments.,Yes — ACSF2 is directly implicated in long-chain fatty-acid/acyl-CoA metabolism in activated HSCs.,Probe maps to ACSF2 body and CHAD first exon. The liver-fibrosis evidence pertains specifically to ACSF2; no methylation-to-ACSF2 functional link for cg25792518 is established.,https://pubmed.ncbi.nlm.nih.gov/36028068/,,,"ACSF2 has direct mechanistic relevance to HSC activation and long-chain fatty-acid metabolism, providing a coherent liver-fibrosis context. Evidence is experimental rather than human MASLD-specific.",9,TRUE,Selected because direct ACSF2 annotation and mechanistic HSC/lipid evidence provide a strong liver-fibrosis interpretation for a statistically supported CpG.
26,cg13052638,NA,NA,NA,NA,NA,93.22658003250366,tier1_consistent_low_dataset_signal,TRUE,4,4,4,6,1.546576965750399e-19,18.810628462360473,58.817197822973185,0.16883633456969488,lower methylation in case/higher stage,advanced_vs_nonadvanced,1,FALSE,stage_and_binary_all5,TRUE,chr1,206677719,206677719,+,NA,NA,NA,N_Shelf,chr1:206680236-206681444,1:206677499-206677911,Unclassified_Cell_type_specific,NA,TRUE,NA,NA,NA,Regulatory_Feature_Group=Unclassified_Cell_type_specific; Regulatory_Feature_Name=1:206677499-206677911; Enhancer=NA; DHS=TRUE; DMR=NA,450K_hg19,TRUE,TRUE,rs6693843,0.418721,NA,NA,NA,NA,RASSF5,83593,ENST00000579436.7_4,chr1,206680864,+,3144,upstream,FALSE,NA,NA,NA,D,No direct MASLD evidence identified for the CpG or nearest RASSF5/NORE1B.,Nearest-gene context only — RASSF5/NORE1B methylation/silencing has been reported in fibrotic/cirrhotic human liver in an HCC-focused study.,No direct MASLD model identified.,No direct non-neoplastic liver-fibrosis mechanism identified.,No specific hepatic-metabolism evidence identified.,Intergenic DHS ~3.1 kb from RASSF5. Available evidence concerns tumor-suppressor methylation in cirrhotic/HCC liver and does not establish regulation by cg13052638.,https://pubmed.ncbi.nlm.nih.gov/16516329/,,,"The nearest-gene literature provides liver epigenetic context but is dominated by hepatocarcinogenesis, making it too indirect for a MASLD/fibrosis mechanism.",,FALSE,Not selected because nearest-gene evidence is cancer-oriented and the locus-to-RASSF5 connection is unvalidated.
27,cg04807036,NA,NA,NA,NA,NA,90.72719830653756,tier1_consistent_low_dataset_signal,FALSE,3,3,3,6,3.5812472605171675e-46,45.44596569290291,41.69955356988979,0.15775896100592005,higher methylation in case/higher stage,advanced_vs_nonadvanced,1,FALSE,stage_all5,TRUE,chr6,33681788,33681788,+,NA,NA,NA,S_Shelf,chr6:33679158-33679701,NA,NA,NA,NA,NA,NA,NA,Regulatory_Feature_Group=NA; Regulatory_Feature_Name=NA; Enhancer=NA; DHS=NA; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,UQCC2,84300,ENST00000374214.3_6,chr6,33679504,-,2283,upstream,FALSE,NA,NA,NA,D,No direct MASLD evidence identified.,"Nearest-gene context only — UQCC2 was among candidate genes associated with cirrhosis in a multi-tissue TWAS, but the strongest liver-specific signals were other genes.",No direct MASLD model identified.,No direct fibrosis mechanism identified.,Indirect mitochondrial plausibility; not sufficient for a disease-specific claim.,Intergenic shelf locus ~2.3 kb from UQCC2. The cirrhosis association is transcriptome-wide/statistical and no CpG-to-UQCC2 regulatory link is established.,https://pubmed.ncbi.nlm.nih.gov/35646080/,,,"UQCC2 provides weak/indirect cirrhosis and mitochondrial context, but neither the gene association nor the CpG mapping is sufficiently direct for strong biological interpretation.",,FALSE,Not selected because evidence is indirect and locus-to-gene assignment is unresolved.
